first_name,last_name,clinic_affiliation,sub_specialty_english,sub_specialty_spanish,phone_number
Guillermo,Blagbrough,Recruiting Manager,Quadruplet preg-deliver,TB esophagus-oth test,7775311947
Beale,Littlekit,Product Engineer,Status amput foot,Contusion of foot,9868666131
Peyton,Gethin,Operator,Mixed hyperlipidemia,Early cong syph symptom,5581803487
Swen,Cockerton,Operator,TB meningitis-no exam,Lcl inf dt cen ven cth,2759567230
Fidelia,McCurt,Assistant Media Planner,Ectropion NOS,Disl metacarpophalan-opn,6169677760
Celestyna,Pendock,Human Resources Manager,Cellulitis of arm,Batter by spouse/partner,4133831445
Pris,Hawkett,Design Engineer,Assault NOS,Mild/NOS preeclamp-p/p,9099043550
Prudence,Durn,Editor,Radiofreq radiat exposur,Accident d/t tornado,1278447029
Myca,Ferrea,Actuary,Explosive personality,Cl skl vlt fx-concus NOS,1676400311
Dael,Kochs,Operator,Screen for filariasis,Foreign body esophagus,7988378266
Glyn,Sitch,Chief Design Engineer,Ostium primum defect,Int inf e coli entrhmrg,7457950425
Brew,Sandyford,Design Engineer,Depress psychosis-mild,Ariboflavinosis,6831535927
Bunny,Huntall,Chemical Engineer,Obsv-suspct mal neoplasm,Polio osteopathy-shlder,2834615955
Hale,Gutowska,Account Executive,Boat acc inj NEC-skier,Foreign body penis,5689388874
Mart,Killik,VP Sales,Mal neo soft tis pelvis,Oth abn prod conception,3543689950
Gian,Wernher,Actuary,Injury iliac artery,Vomiting post-gi surgery,7916214788
Aylmar,Burvill,Software Consultant,Kidney injury NOS-closed,Optic atrophy NOS,8914136614
Sher,Dochon,Automation Specialist IV,Loose body-forearm,Acute bronchitis,3869434459
Bobine,Lafay,Dental Hygienist,Late eff int injur chest,Boat submers-pers NOS,1007994631
Sena,Breckwell,Marketing Assistant,Toxic eff pesticides NEC,Oth spc behavior problem,2502881812
Zollie,Hindrich,Dental Hygienist,Chr peptic ulcer w hem,Phacolytic glaucoma,7634910447
Daphene,Goldhill,Administrative Officer,Opn skul/oth fx-mod coma,Late eff int inj abdomen,5749312675
Ardelle,Haydn,Account Representative II,Gastrostomy status,Disorder of globe NOS,2633450316
Annmarie,Chatten,Human Resources Manager,Water/watercraft,Cns TB NEC-exam unkn,1669179378
Kassia,Lawley,Nurse Practicioner,Ca in situ resp sys NEC,Ritter's disease,1444462476
Lek,Kasting,VP Accounting,Asym bacteriuria-deliver,Other conduct disorder,8389283466
Pearce,Lockhart,Media Manager III,TB urinary NEC-exam unkn,TB peritonitis-oth test,7354710730
Farlie,Tuther,Dental Hygienist,Incompetnt cervix aff NB,Ben carcinoid asc colon,2546657490
Trueman,Passie,Human Resources Assistant II,TB fem gen NEC-exam unkn,Genital herpes NEC,5579953770
Celisse,Millmoe,Help Desk Technician,Juv osteochondrosis foot,Chr pulmon heart dis NEC,6587752655
Ailey,Narup,Junior Executive,Fracture patella-closed,Trematode infection NOS,5573778089
Jakob,Pardew,Speech Pathologist,Cl skul fx NEC-deep coma,Mal neo post hypopharynx,1429814467
Lyndsay,McKelvey,Biostatistician IV,Hyp kid NOS w cr kid V,Physical restrain status,6645739633
Chase,MacCombe,Senior Editor,Routine gyn examination,Drug psy dis w hallucin,2673125845
Dalis,Critchley,Software Engineer III,Enlargement lymph nodes,Oth acq limb deformity,9938805986
Ricoriki,Curado,Web Designer I,Chr duoden ulcer w perf,Asympt varicose veins,9901177349
Nadya,Simmig,Actuary,TB of eye-oth test,Cl skul base fx-brf coma,3168971165
Amy,Bigrigg,Graphic Designer,Prob-head/neck/trunk NEC,Benign neoplasm sm bowel,5594864373
Davina,Laister,Clinical Specialist,Red cell aplasia,Fx lateral malleolus-opn,2463426555
Lannie,Bartot,Account Representative I,Puerp compl NOS-unspec,Ob trauma NOS-postpartum,2496792729
